"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Worcester","MA","Worcester","25","027",65,185000,199900,199000,190000,189900,184900,186900,189900,185900,182900,181000,179900,178800,174900,175000,179900,189000,189900,189900,189000,186000,186450,179900,179900,183450,185900,189900,194900,194900,195000,189900,189000,179900,192949.5,198500,195000,189938.5,199000,199900,209900,2e+05,206000,199898,199999,205000,199700,199700,189900,199000,219900,199900,198800,199000,197000,199000,199250,191900,199900,195950,204900,210000,205000,205500,199900,205000,199900,204900,199900,199000,199000,197900,199900,214900,210000,212450,219000,219900,219900,219900,214450,219900,219900,219900,215000
"Pierce","WA","Seattle","53","053",66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149000,149000,151500,157000,160000,174250,175000,160000,164450,173500,167000,165000,159975,159950,160000,169950,195000,179800,179975,187450,199990,199950,205000,187000,165000,189950,208000,204950,209000,189900,2e+05,199500,209950,207500,207500,2e+05,199925,2e+05,213950,199950,204500,211150,209900,209000,2e+05,204925,206250,209700,209900
"Essex","NJ","New York","34","013",67,259900,249900,249900,249900,238500,229900,229950,219000,211000,218900,212950,213900,209000,199900,199000,197000,210000,199000,195000,195000,189900,185000,185000,185000,179000,179000,185000,184900,190000,189900,175000,179000,170000,175000,179900,170000,170000,175750,189950,195000,2e+05,199000,216250,216250,199999.5,199950,231000,210000,217450,189000,210000,239000,239500,235000,229900,228900,211000,220000,228450,230000,230000,239000,224900,224450,219500,220500,219000,199000,199450,207000,195000,192950,189900,199900,199900,219950,216500,207450,199000,199900,219900,210000,199900,217851
"Collin","TX","Dallas-Fort Worth","48","085",68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194500,194490,194000,209499,224950,219949.5,218000,215000,215000,212450,210000,213450,212000,208900,219750,228950,232000,233700,240000,242900,246000,250000,247500,244999.5,245000,258500,255000
"Essex","MA","Boston","25","009",69,219900,229900,224950,220000,220000,224900,229000,229700,229900,224900,219900,209949.5,209000,199900,199900,204900,215000,219990,224900,225000,227750,228500,209900,212000,221000,225000,229900,234900,235000,236470,239900,238500,239000,230000,236750,239000,239900,246750,245900,249900,258900,260950,259900,259000,250000,249900,250000,249900,259000,274800,249900,259900,269900,259900,259900,259900,259000,259900,254950,259200,259900,269000,272700,269899.5,259900,259900,259900,256900,259900,259700,259900,265000,269899,269900,279900,279000,279900,284900,288750,284900,299900,289900,299900,3e+05
"Jefferson","KY","Louisville/Jefferson County","21","111",70,136700,134900,136500,132000,129900,129900,129900,129250,129000,126200,125000,125000,125000,122900,119900,119900,117225,115000,114500,114950,114900,113075,114500,110900,109950,109950,111150,109950,108000,105900,103900,103950,104000,107500,112950,110000,112900,114900,114500,114900,115000,115000,115000,114500,114900,114900,114900,114500,113700,119900,117900,119900,119900,118950,117200,119900,118900,115950,113900,114500,116750,116500,118000,119000,119700,119900,119900,119900,121000,124900,125000,125000,129900,129900,130000,135450,136400,137450,136400,139950,139975,141900,140000,147975
"Multnomah","OR","Portland","41","051",71,239900,239900,240000,234000,230000,232000,235000,225000,225000,199000,188761.5,199000,189000,189450,185000,179900,179925,179000,185000,195000,199000,192300,192300,176250,189000,182000,195000,199950,189450,194500,199900,207900,199000,215000,215900,219000,229900,238250,248000,229450,225000,229000,228000,229900,225000,229900,222650,220000,226600,230000,239900,239000,237267,259450,267750,274950,264999,252000,239900,239900,259000,269450,289950,279000,274900,274900,274900,269000,269950,280000,299000,299900,289000,296000,299900,3e+05,325000,326750,325000,330000,335000,332000,333950,336000
"Suffolk","MA","Boston","25","025",72,350000,369900,369000,367000,369000,359000,349900,339000,347500,349000,355000,349000,349000,349000,339900,349000,368000,369000,359900,359000,365000,379000,359000,349900,399000,395000,395000,395000,389000,389000,389000,379900,389000,389000,389000,389900,419000,429000,427500,429000,439000,435000,439000,425000,439000,437000,450000,469000,474900,499000,439950,449000,449000,449000,449900,458250,474900,479000,497000,499000,499000,529000,499000,499000,499000,499000,499000,519000,524999,529900,535000,525000,559000,585000,575000,610950,599000,599000,599000,599000,625000,599450,599999,599900
"San Mateo","CA","San Francisco","06","081",73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,470000,478500,480900,479475,492000,479000,498000,499000,492500,472500,499000,517000,499000,559500,554500,549975,558888,575000,589000,599000,598250,575000,585000,588000,579000,629000,602475,650000,650000,695000,650000,650000,669500,673000,682500,699000,708500,725000,698000,725000,699888,685000,698500,698888,680000,675000
"Snohomish","WA","Seattle","53","061",74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224950,219900,2e+05,204975,210000,224950,237975,228825,230000,225000,216500,215000,210000,199950,205250,229950,235000,239500,239950,245950,249950,249950,249950,239900,235000,227225,239500,239000,249950,257999,265000,269950,271950,265000,259000,255000,255000,259950
"Lake","IL","Chicago","17","097",75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,133116.5,129900,134166.5,146250,149000,149900,154900,149900,144950,140450,139700,139900,139900,144900,149900,155000,158950,161500,162900,164499,162000,161500,159900,158000,154400,160000,165000,167700,168900,169900,174544,169949.5,168300,169900,169900,170950,177499.5
