"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Midland","TX","Midland","48","329",433,274950,277450,279900,274900,274000,272950,265000,259900,253600,249900,248500,249450,241900,249900,255900,259350,262000,274000,275900,274900,284950,282700,284900,279900,274750,289900,290000,309900,304900,309900,305000,289900,303750,309900,322900,325000,313000,303450,329900,320950,329900,334750,335000,329750,359700,369900,335000,315000,312500,310000,3e+05,329900,365000,365000,362400,375000,378950,382450,379450,378700,375000,349900,349000,355000,343750,342750,359000,352900,349900,353760,365000,350000,349900,359950,349900,347450,325000,315000,284020,285020,275950,269500,274900,272400
"Fayette","PA","Pittsburgh","42","051",434,,,,,,,,,,,,,,,,159900,153950,158450,159900,139900,144450,159450,139900,139500,119000,134900,129900,119900,122000,119900,119900,117450,117450,122900,125000,127000,124950,124950,134900,125000,124950,125000,119950,119950,125000,125000,125000,104950,105000,99900,99900,115000,117000,125000,125000,129900,132000,125000,125000,122450,125000,138000,135000,133800,137450,139900,135000,130950,129900,132400,134900,129450,126450,124900,122400,129900,137400,137400,129000,129450,124950,122000,139900,139900
"Dorchester","SC","Charleston","45","035",435,220000,214500,214000,210000,224900,226000,223992,224900,219900,219000,214700,210000,206900,206400,209900,209900,203990,207745,209900,208495,209000,199900,195500,189900,190995,201115,204990,199700,215000,215000,221950,229900,219900,221195,225000,228500,225000,225000,225000,224999.5,224900,225000,229949.5,236000,239000,243245,239900,239500,230000,238410,249450,245900,242695,244900,241900,247950,244450,241445,242950,246210,242900,242450,249900,245000,246990,249999.5,250000,254900,249900,254950,254900,250950,262300,266250,266070,268900,275000,277547.5,279000,282621.5,289900,288995,288353,286372.5
"Napa","CA","Napa","06","055",436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,699500,765000,707500,769500,875000,889500,799500,777000,755000,788500,799000,759000,696950,679000,695000,774500,777000,769000,789000,789000,799000,799000,799000,774000,749900,739444,769761.5,775000,765000,824900,824950,825000,849947.5,849000,899000,948900,949000,972450
"Tazewell","IL","Peoria","17","179",437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225000,214450,225000,207400,209000,233950,229700,229900,235000,235000,229900,238000,229900,235000,236450,238450,239700,239000,234450,229900,239900,232450,229950,229900,224900,224900,224900,219900,222400,224200,219900,224900,235000,239900,229600,214400,217400,227450,227000
"Chautauqua","NY","Jamestown","36","013",438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149900,154900,152450,149000,142000,149000,158750,149900,139000,149900,139000,129450,129900,129900,129900,129000,129000,129900,124950,121900,122950,112000,107450,110750,129900,141500,139900,139900,133000,129000,124900,119500,119000
"Coconino","AZ","Flagstaff","04","005",439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535000,545000,519900,457200,450000,468000,449900,499000,479000,449900,450000,444500,462500,449000,474500,475000,472200,469500,543500,557000,574900,514900,548000,547450,526500,534900,535000,581950,625000,650000,599990,589000,539000
"Robeson","NC","Lumberton","37","155",440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,174000,174500,169900,170000,174250,170000,159000,164000,163950,139900,129900,137200,139900,159450,143950,142400,130000,148500,159900,159900,157250,158250,163900,174450,166900,157500,157500,161450,172150,167350,169800,164900,165950,160200,149900,149950,142000,142000,146450,145500,139500,144900,149000,149900,165000,165000,165000,164900
"Marathon","WI","Wausau","55","073",441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176200,174900,179900,166500,179900,174450,179900,169900,175950,179000,179000,176950,177400,174443.5,174500,169950,174900,159900,149900,156250,158700,169900,189000,209950,210000,199900,187400,192400,179900,186600,154000
"Orange","NC","Durham","37","135",442,469900,478500,475000,475000,469900,459900,450000,457750,459900,450000,441450,439900,425000,436000,446950,449000,449000,449000,433950,439000,425000,424000,425000,404995,415000,424950,427000,423650,410900,388990,388990,385200,389000,374900,390950,407990,425000,475000,475000,467500,465000,489900,471995,449990,455000,481000,459445,459450,450000,469450,450000,455000,472450,475000,475000,480000,475000,458200,457400,457400,459950,465000,478500,484900,479600,489000,485000,495000,499900,488000,481950,465000,485000,474449.5,487450,499000,489900,499900,498700,498250,498000,494900,479450,489000
"Lebanon","PA","Lebanon","42","075",443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307261,309792,305892,305995,307842.5,309108.5,321818,315489,266100,266045,265640.5,266155,267500,265606,266529,283900,283900,281475,283500,281475,261761,262701,266544,266058,264123,256109.5,256109.5,259139,262065,262763,272245,270265,276408,286875,283000,288225,291319,285595,281133,280120.5,286050,278703,279108
"Douglas","GA","Atlanta","13","097",444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190623,184250,184500,179900,195450,199900,193062,199900,2e+05,208067,219990,219945,217000,207000,201000,215000,219700,219500,221200,220450,219950,219450,215450,204700,208980,200265,202500,214950,209950,210000,205000,209900,206565,209950,211489.5,207301.5,210000,209900
"Rapides","LA","Alexandria","22","079",445,239900,239950,235700,274900,265000,270900,272500,265500,267700,264900,272400,271900,269500,270900,275000,271700,269250,269500,269250,244500,247200,260450,255000,262200,254900,249900,259900,255000,264000,246000,264000,267450,279700,249500,254450,279900,249500,245000,238250,239200,247500,249900,254450,259900,262250,262000,263900,257000,262450,265000,262450,258200,257000,250000,257500,268250,258750,279900,260000,260000,262450,269000,267200,267400,282500,278450,269000,262250,270000,269000,262500,262000,260950,280000,286250,299000,299899,298000,299000,299500,299000,297450,294000,294000
"Sandoval","NM","Albuquerque","35","043",446,299999.5,299900,285000,288500,284900,275900,269500,264900,270000,269000,266975,259950,259900,259000,259900,264900,266755,264975,265000,274900,269990,279000,292495,284900,272940,264945,268000,271000,269850,269000,269000,269900,274641,279450,297500,275000,265000,265000,265000,269990,275000,275000,275000,272000,269900,273450,261735,261070,263450,269000,259900,264500,266000,265260,259900,253078,259900,259450,254450,265000,259900,262250,267788,264900,273950,271495,274340,279000,275000,275000,282000,269945,275027,285882.5,281610,279500,285000,276495,284083,275000,285000,294990,287800.5,285990
"Guadalupe","TX","San Antonio","48","187",447,197900,196710,195000,198000,195450,194000,194000,194900,199500,199900,199500,199994.5,206499,207745,204000,204950,205400,210000,2e+05,199800,195400,197250,199500,199900,199900,201745,208990,205000,208990,210000,204995,210400,209250,210000,215255,214970,214975,216495,221900,224660,223000,219990,220000,220213,220136,224999,223500,223995,222145,222862,229161.5,230100,236500,232597,232969.5,234894,238900,243195,238000,249900,254800,259995,266197.5,268990,270000,271100,272945,271990,270990,272990,272990,273990,272900,258445,259450,249945,249990,259900,264900,259900,259900,266900,260000,260000
"Taylor","TX","Abilene","48","441",448,183000,182500,184600,189950,189900,189900,198900,199000,198000,189900,189000,199000,184900,189450,184900,195000,199000,199900,199999,199500,199500,199250,209900,199950,198500,202450,211450,215000,215000,215000,214950,215000,215600,214000,219000,219900,214900,214900,219700,212450,210000,219900,233850,224900,224900,230450,235000,228000,225000,249700,244900,244000,249800,249450,249900,249900,249975,267500,249900,249925,261500,259000,249900,259000,269900,269000,269900,264900,269000,269250,269900,269000,259950,247650,255000,264900,259900,249900,249794.5,245500,243450,269900,259950,249900
"Wichita","TX","Wichita Falls","48","485",449,188450,181000,175000,174900,179500,178500,174900,172000,169900,159900,149900,158500,165000,159900,160000,155950,156400,155900,155450,155000,164900,164450,169000,174450,169900,159900,165000,169900,164900,165000,164900,160000,154900,149900,164500,159900,161200,168000,167900,175000,169700,169500,172500,179900,178250,184900,179900,172500,169900,188500,182350,180000,183500,184500,179250,179000,178750,169950,169900,169900,171200,166950,177900,172500,179900,183950,185750,185000,189900,196325,217900,210000,191200,189900,186500,184900,184900,195000,197750,189900,189000,189000,187250,185700
"Cochise","AZ","Sierra Vista","04","003",450,230000,229900,234900,237250,237000,234900,234900,229999,229999.5,224900,217900,219950,210000,217000,209900,219900,224900,219200,215000,206950,209900,215000,209900,205000,219900,223349,224666,220000,218650,207250,220000,219950,223000,224333,236599.5,241868,235000,236387,234900,230450,231791,236718,235468,226530,225926,219450,214900,227324,229900,229900,230070.5,230070.5,225000,225000,227250,232163.5,234427,217000,217000,216000,213971,227500,218450,219500,215000,228000,228500,220000,237237,249900,232000,216575,215888.5,217538,217538,224000,231450,224950,229450,224000,223670,225000,229900,223000
"Berkshire","MA","Pittsfield","25","003",451,329000,344900,360000,363700,374900,362400,354950,357000,350000,349900,339000,339450,339000,349000,349000,349900,349900,349000,339000,332400,349000,346000,332250,332250,330000,325000,315000,334950,329900,329900,338411,326000,339000,329450,349950,349950,349000,339000,349900,367400,373000,379000,379000,365000,359000,356950,349450,349000,359000,359450,349950,339000,362000,369000,369000,359000,369000,372000,375000,372000,349503.5,349900,389000,377000,372000,359900,368500,359900,359900,349500,349000,339000,349000,349925,344900,349000,349000,349000,338000,329000,339900,327000,325000,330000
"Black Hawk","IA","Waterloo","19","013",452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,232000,237000,229200,227500,209500,207400,209900,204900,202400,206950,225000,241200,234900,222400,202450,199450,224000,198950,199000,211000,220000,217700,219900,229900,233400,233400,247500,249900,232500,225000,237450,224500,219900,235000
"Johnson","IA","Iowa City","19","103",453,269900,262450,264950,260000,265000,265000,269900,270000,279000,271950,274700,269900,274950,259900,255450,253250,252500,249999.5,253650,254900,254900,249900,249900,248250,240950,249900,249900,249900,249900,249900,249900,259900,256450,259900,264900,268000,269900,269900,269900,269900,269900,272250,279900,289000,273000,271457,271245,269900,284900,284450,289000,290000,285950,279900,289250,292400,289900,284900,290000,302500,3e+05,306250,305000,299900,299900,305000,309900,315000,3e+05,299900,299450,299200,303550,3e+05,299900,299900,309900,305750,316000,319900,319990,315000,314000,315000
"San Juan","NM","Farmington","35","045",454,289000,283000,279900,265000,265000,252500,249900,264000,259900,249900,249500,249000,248500,229000,227000,225000,239000,239000,218250,219900,210750,199900,199900,199900,199700,199900,219450,219900,214900,216950,226000,234500,239900,249000,269500,257000,249000,249000,248500,248500,262450,249000,249000,257450,275000,272000,279000,269000,260000,266450,239000,220000,225000,219000,240000,239000,240000,240000,266950,228950,229600,237500,250000,265000,264500,244800,262500,270000,289444,295000,289000,284450,264500,272950,290000,292000,298000,296950,295450,295900,269900,269450,259900,259900
"Scott","MN","Minneapolis-St Paul","27","139",455,288999,284000,285000,282375,295000,295000,295000,282350,284345,287942.5,274990,272000,269949.5,269999,260450,259000,260900,269900,268900,269900,269900,273000,263445,264783,265000,268950,260000,268900,274900,279900,263950,265000,260000,269900,289900,289900,299900,299942.5,299900,309900,299900,317345,324900,339500,339900,349899,339900,351900,342996,342996,359900,359900,355950,359900,350495,364945,365000,369900,370900,362495,370445,349945,349900,353990,359900,357245,348000,346000,359900,360990,369900,368990,369900,375000,369900,360000,372500,370545,375000,373900,374950,375000,374995,377941
"Stafford","VA","Washington","51","179",456,325000,329900,323980,318250,309999.5,309949.5,315000,307990,317450,310990,309995,297000,299900,299925,299900,299900,315000,319900,310000,299900,309900,315000,299949.5,304990,314900,299990,310000,324900,324990,324995,329000,339450,339990,345678,364995,359990,359754,360000,360000,369900,379945,384990,383950,380000,384900,378500,379900,389700,390990,394900,389900,389900,395000,390000,399500,399900,399990,399000,392182.5,392445,395000,404365,410950,409925,404408.5,399999,390000,398750,399000,396800,399000,399900,411445,399900,399900,401990,399900,399900,404995,409990,410000,409286,414999,414990
"Hunterdon","NJ","New York","34","019",457,579000,554900,549900,549900,544000,539000,534900,535000,534900,529900,529900,524900,524945,519900,529900,514900,528888,524900,502499.5,509000,5e+05,524900,510500,527000,549900,545000,534000,524900,529900,519000,499250,524102,529000,512875,560850,562400,556800,549135,562450,562450,578900,569900,589000,572450,592400,599900,599900,599900,599900,622497,599900,626499.5,619450,633400,624999,599000,599900,625450,634995,619000,599900,624000,599900,599925,624450,649450,652447.5,649000,639450,615500,615000,6e+05,604900,599900,611950,599900,599000,599000,595000,599000,599000,599000,599000,599900
"Coweta","GA","Atlanta","13","077",458,230000,229900,229900,229900,229900,229900,225000,227000,225000,220000,219888,209450,204000,199000,206945,208222,205000,206450,207111,205000,209900,211111,209950,209900,219900,219900,220000,216561,219900,224900,219900,225000,224900,224900,235000,233407.5,235000,235187.5,236187.5,239000,239900,239900,234900,234900,235375,229995,229900,235687.5,236000,239900,244061,238000,233200,232800,229900,229900,239990,239900,239740,249000,237900,239000,245945,249900,245945,250000,244990,249450,254265,259450,256230,251322,245900,260900,265000,269450,276878,284950,274425,274174,278500,289014,274950,270079
"Washington","RI","Providence","44","009",459,509450,499000,499900,499000,499900,499900,519900,499900,499900,499000,499850,499850,496950,499000,482400,479700,479500,469999,475000,459000,459000,449000,459000,462200,487000,471950,467450,449000,449000,449000,449000,479000,484700,495000,499450,495000,475000,495000,469900,479900,479000,499000,499900,499900,499900,509900,509900,539000,5e+05,499000,499900,474450,487514,484900,524500,499900,499000,499000,498300,497250,474950,476500,475000,467700,469900,474000,499000,499900,499000,5e+05,502500,499900,499509.5,499900,499000,489450,527000,539000,534900,534500,535000,524000,490000,499450
"Sebastian","AR","Fort Smith","05","131",460,214900,206450,199900,199900,204900,206400,206900,199950,199450,194950,187000,179250,174900,169900,179600,185000,191875,189950,189900,194950,198125,195500,196875,189700,197750,191200,214450,214000,214450,214000,234700,229500,239250,239000,229950,239000,239900,250000,241500,230900,244000,247500,244950,223700,227750,227000,195000,224900,218000,219450,212450,222400,219900,213750,215000,218000,220000,220000,219900,202000,210000,199450,213900,214400,215900,233900,245950,245950,250000,240000,245900,244000,249900,242749.5,245900,249900,249000,252450,239900,239900,225559.5,224900,226219,231500
"Wood","OH","Toledo","39","173",461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,200900,219900,214900,224900,224950,224900,224900,215000,214900,221900,224900,234900,239900,230000,230000,229900,229900,238000,229900,221900,214900,217900,218900,218900,227900,226400,247700,259000,259900,259900,259900,254900,259900,254950,245900,248250,249000
"Wright","MN","Minneapolis-St Paul","27","171",462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,270995,272110,255217,258000,259950,274888,274900,269900,269900,278974,286000,279947.5,272450,279900,274900,284900,284995,285495,284900,292855,299900,307445,3e+05,311990,309900,313445,310000,315000,320950,319900,307545,309700,327495,329990,325000,324945,315000,324800,326990
"Comanche","OK","Lawton","40","031",463,216500,214900,214900,206200,209900,209900,204330,213000,207000,203500,199925,199900,199900,196450,199950,206500,203250,204250,198900,198450,190000,194750,194500,194500,191995,199900,219925,210000,218700,214000,217250,215900,215900,214840,219900,223900,216425,214900,215000,224900,220900,210000,209900,209900,209900,207990,206450,209500,209900,210400,215000,216250,209300,212000,217500,217500,209950,209400,207950,203925,220000,232400,235000,230450,225000,224975,225000,225000,215000,221300,220000,220000,220000,205900,209900,215000,219900,215000,209900,199900,199700,204900,204950,214875
"Columbia","GA","Augusta","13","073",464,227550,229900,229900,227900,227700,225900,227900,228838.5,228390,219950,215000,212900,215000,219900,210450,210000,219900,219900,219000,215000,219900,218900,215000,206950,206400,212200,214900,209967,214900,219700,214900,214900,214900,214900,215970,216295,216962.5,219900,224900,222950,224900,222000,224900,227900,225000,224900,224900,225000,225000,225800,225000,229803,229803,232117,234334,236136,239900,236723.5,239900,239900,238648.5,234950,229900,235900,239900,239900,239900,238950,239900,243250,244900,239900,246250,244900,245000,249800,249900,249900,249900,255000,245200,245200,245000,249900
