"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,429900,419900,425000,429990,449000,450000,459950,469990,469000,468888,465000,459000,445000,446450,460000,475000,489000,499900,510000,510000,515945,515000,519000,515000,510000,508475,519000,530000,545000,549000,555000,550000,549900,549000,549000,549000,549000
"Cook","IL","Chicago","17","031",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,199900,192825,225000,242450,255000,259900,259900,267000,255450,249000,242000,234900,219900,224900,244900,263855,269995,269900,274900,269999,259999,254900,250000,249000,244400,249700,259900,285000,289900,290000,295000,289000,281875,289900,289000,289000,279900
"Harris","TX","Houston","48","201",3,119000,120000,124000,124900,124000,122500,120000,121755,128000,126000,127990,125000,124900,124900,124900,124900,124970,125000,124990,124900,119995,120000,118500,119500,119485,118610,119900,120000,121239.5,122900,123987.5,124900,123500,123900,129995,130000,130000,137500,139900,143000,144900,145000,145900,148000,149000,150000,149900,149900,151990,156990,159900,165950,166992.5,168000,168992.5,169900,169950,174499,174999,184900,188900,199000,199900,211983,199900,195000,210000,215000,221690,224900,221810.5,227990,229999,222995,228950,229500,228375,229992.5,226685.5,225000,224900,224900,220000,219500
"Maricopa","AZ","Phoenix","04","013",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,215000,215000,217990,219900,220990,219999.5,220000,219800,219900,219995,225000,219990,224900,232845,231995,239000,242000,240920,238500,235000,244900,246900,249900,254273,255000,259900,255000,255000,258990,254990,254990,250000,250990,250745,250000,253000,249990
"San Diego","CA","San Diego","06","073",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,415000,420000,425000,429950,439900,449900,449900,465000,468000,465000,459000,450000,450000,440000,449900,459000,480900,488944,499900,489000,509900,511500,514894,509000,515000,510000,517245,519144,519900,525000,529900,530000,535000,529000,529999,529900,525000,525000
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579900,575000,577499.5,589500,599000,599999.5,614990,619000,615000,615000,620000,6e+05,599800,589900,599000,620000,629000,639000,649000,649000,645000,649000,649000,649000,649000,649900,649999,650000,655900,669900,674900,675000,675000,677585,678000,679000,675000,675000
"Kings","NY","New York","36","047",7,480000,489000,489000,479000,480000,485000,489000,489000,495300,489000,489000,488000,489000,490000,499000,490000,499000,495000,499000,489000,499000,489000,479000,474900,469000,479000,489000,489000,489000,459000,439000,435499.5,439000,439000,479000,477000,469000,459000,459000,475000,475000,489000,479500,489000,489000,489000,541662.5,529000,549000,539000,549000,539000,549000,579000,584000,599000,627000,629000,645000,629000,695000,749000,749000,699000,739000,750000,750000,749000,792500,799000,799000,827000,895000,889499.5,869000,919000,899000,899000,889999,899000,899000,925000,949000,999000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,235000,230000,234900,230000,240000,239900,240000,235000,240000,249000,250000,260000,265000,260000,274999,289000,285000,265000,265000,290000,296400,3e+05,3e+05,325000,330000,340000,345000,336000,350000,355000,350000,350000,354900,359900,359900,365700,369000
"Dallas","TX","Dallas-Fort Worth","48","113",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145000,145000,145000,138500,137500,144900,150000,155000,149900,149900,156000,149900,149900,145000,149000,149900,159900,163745,167500,170000,170000,169900,174900,179500,179900,179900,174870,175000,179900,189900,199000,2e+05,205000,209700,209900,209900,215000,219900,215000
"Queens","NY","New York","36","081",10,449000,449000,440000,439000,439000,429945,429000,429000,430000,430000,430000,425000,418500,4e+05,419000,419000,418000,409499.5,399000,399000,399000,398000,389000,389000,385000,379000,379000,379000,379900,379000,379000,375000,369000,369000,380000,379000,379000,385000,385000,385000,389000,389000,379000,379000,379000,371000,379000,379000,379000,395000,389000,399000,399000,399000,399999,409000,409000,429000,429000,419994.5,429000,419000,419000,419999,425000,419000,435000,439000,449000,469000,469999,460000,479000,480000,489999,499000,495000,499000,499000,498250,499000,499000,489999,489000
"Riverside","CA","Riverside","06","065",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299500,3e+05,299900,308990,310000,315000,316945,314900,309900,310000,309900,305000,3e+05,309000,313000,324900,325000,327900,329000,329000,325000,325000,325000,329000,335000,339000,339900,340000,344900,349000,349000,345000,345000,339900,339900,340000,349000,349900
"San Bernardino","CA","Riverside","06","071",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219900,219000,215000,219000,224945,229000,234250,240000,247000,245000,247350,245000,240000,239900,245000,245000,249900,249900,254999,259900,259900,260000,260000,261999,260900,260000,259990,260000,265000,268888,275000,279900,285000,279900,279500,279000,279000,279000
"Clark","NV","Las Vegas","32","003",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,168999.5,165000,168000,169900,171801.5,175000,179900,180000,185000,189000,187500,185000,185500,186700,189900,192999.5,195000,199900,199000,199994.5,2e+05,204900,205000,205000,205000,205000,2e+05,209000,210000,215000,219900,219900,220000,223000,224900,225000,225000
"King","WA","Seattle","53","033",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,307900,3e+05,319450,336675,349950,363888,375000,375000,369912.5,371995,369000,350000,349000,335000,339999.5,350000,369000,367490,390000,392500,389950,387975,379940,355000,329000,340970,365000,389950,399950,414950,424925,420000,425000,424950,420000,419925,410000,415000,425000,439900,449950,465000,478000,469000,450000,469000,475000,465000,440000
"Wayne","MI","Detroit","26","163",15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65000,70000,59900,69000,70000,79000,79900,84900,88950,89500,83900,81900,74900,74900,75000,81900,89000,92000,97000,97999,97000,99000,97900,94900,89900,85000,83900,79900,84900,89900,94900,98900,104900,109948,109900,107000,104900,99900
"Tarrant","TX","Dallas-Fort Worth","48","439",16,118900,119900,120000,121950,120000,119900,119900,120000,125000,120000,115500,113000,110920,109999,110990,114500,114900,116900,114900,114900,109900,109900,107900,104900,105000,105750,105500,105000,108900,110000,109000,105000,105000,109900,127250,128525,129900,134800,135000,137000,139900,140000,142000,141792.5,141865,142000,139900,140000,139900,145000,147500,149900,152000,150000,152945,155000,156000,156417.5,154500,153990,156000,160000,165000,167990,166200,165000,165900,166046.5,167945,167000,169000,169900,169900,168200,172990,176250,180000,185000,187000,186900,185000,188500,189000,189900
