"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Charleston","SC","Charleston","45","019",161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075000,1099000,995000,995000,999999.5,1e+06,1085000,995000,995000,1080000,1050000,985000,899000,899450,874500,859500,839000,850000,876500,815172.5,876500,869800,839900,839000,852300,849600,822000,8e+05,825000,825000,850000,850000,974000,974000,920000,899000,869000,872000,875000,875000,898950,875000,925000
"Lehigh","PA","Allentown","42","077",162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,175000,174950,149900,147450,144900,159900,160000,175000,174900,174900,159900,150000,159900,159900,139500,149000,149000,147000,147000,152450,159000,159000,179500,189000,189900,173400,155000,145000,132500,144900,149900,132450,150000,144950,170000,170000,163000,150000,152450,144900
"Placer","CA","Sacramento","06","061",163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,599000,6e+05,569000,550000,599990,584900,584000,577863,575000,574500,559990,569500,569990,550000,575000,569000,589995,599000,599990,599950,599990,599000,599990,609990,615000,620725,624990,639990,650000,649450,649000,635000,631265,627036,620000,625000,626018,629990
"Nueces","TX","Corpus Christi","48","355",164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334900,358558,374450,389000,439450,414900,414900,422450,429900,399999,449950,432450,437900,499500,439725,399900,361720,370500,394550,434450,429450,452450,434000,452250,429000,425000,437500,435000,435000,449900,423700,409900,449900,454900,449900,459950,424900,427900,422877,430900,448900,499900,454900
"Hamilton","TN","Chattanooga","47","065",165,449000,418000,389700,389900,379450,369900,365000,359950,389450,389900,360000,359000,342450,342450,349000,342500,314500,324900,329000,339000,334950,330950,342950,365000,354500,349900,358100,359000,362450,378300,379100,374150,379949.5,349700,375000,359900,369900,349500,349900,379100,382450,450000,437400,439900,412450,417000,450000,415000,415000,437450,425000,415000,444900,426950,424900,399000,407000,353200,337650,351400,388200,369900,358990,359900,389250,399000,399000,399000,392450,389000,435000,449750,439450,475000,449000,449000,431950,439000,434000,439900,444450,449700,450000,457400
"Madison","AL","Huntsville","01","089",166,409900,419900,399500,385400,407000,406900,399900,379900,389900,399900,399900,399500,396900,399250,394000,397700,385000,383250,375900,375900,376900,369000,369900,369900,366950,352880,350000,339450,348450,359900,359900,350950,346500,340984,350000,340984,332950,329900,330125,332125,334900,326450,333790,332750,335000,337900,337900,350000,369945,368630,369945,371000,367450,375350,379900,372500,370000,350000,350470,350000,340700,350000,360370,342450,339900,339900,314900,324051,314375,325919,329450,329450,326466.5,345700,349900,345987,334900,327860,335582.5,339629.5,331900,329131,318900,324099
"Marion","FL","Ocala","12","083",167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,469900,414500,429000,4e+05,442700,425000,449900,467000,444475,464450,450000,449000,425000,425000,489000,497500,497750,525000,579000,557777.5,522500,549000
"Anoka","MN","Minneapolis-St Paul","27","003",168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,299900,269900,244900,259990,279900,292400,298900,322900,337450,335000,326950,309000,309450,313750,294900,299950,322450,323500,319900,319950,329000,349900,349950,349900,339000,347400,325000,349900,349900,379900,360000,389950,364450,349900,352000,365000,365000,362500,372450
"Somerset","NJ","New York","34","035",169,850000,812500,859000,799450,799000,789000,769000,759000,749900,754900,734450,699000,679000,687450,679000,749000,784900,749450,749000,749000,740000,759500,824200,774450,899000,899900,899000,899900,849900,795000,799000,799000,795000,795000,799900,810000,875000,850000,879000,949000,950000,963500,949500,909499.5,985000,994950,980000,975000,999900,999000,1100000,1124500,999450,999900,977499.5,995000,962450,990000,975000,1024900,1015000,1150000,999900,999900,1015000,1085000,999900,959900,996650,1059499.5,1073000,966445,999900,942450,973995,959900,977500,975000,975000,949000,977000,975000,958000,939000
"Manatee","FL","North Port-Sarasota-Bradenton","12","081",170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499000,465000,485000,549000,499945,519900,493301.5,534900,512295,479000,479000,479000,475703,493830,497670,529945,515000,549000,535000,535000,549000,544900,525000,525000,499900,523500,579500,598000,494900,534950,525000,526210,530000,502500,519000,569000,569000,526347.5,500990,549900
"Collier","FL","Naples","12","021",171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1308745,1354245,1495000,1497000,1404995,1349900,1380445,1265495,1349950,1280990,1265495,1250000
"Luzerne","PA","Scranton","42","079",172,139900,137200,139500,119950,124950,124000,119000,115000,119000,119000,115900,110000,99950,107000,104000,105000,105900,109000,106750,1e+05,109450,109000,100499.5,1e+05,100999,95900,99900,114500,105000,99900,96000,97000,97250,89900,95000,95000,90000,97450,96000,109900,109949.5,122450,119500,110000,118000,110000,109400,124900,115900,110000,107400,115449.5,130820,130360,129250,128950,120000,119000,109950,110000,114950,124250,119900,119900,119900,119950,125000,122500,119900,115900,119000,99900,99900,99000,99000,99999,1e+05,99999,110000,107000,99450,99900,104900,110000
"Cumberland","NC","Fayetteville","37","051",173,286950,295000,312000,295000,315000,295000,289900,319750,324950,329900,339900,314900,301900,299000,294900,294900,294900,294900,279938.5,279900,279900,279900,279977,279900,279900,279900,284900,278995,265950,261900,269900,261900,262900,263900,270500,271900,270000,274900,271000,267950,265900,266000,260000,265900,269900,269900,272500,266900,269900,269900,279900,278750,274950,279450,279000,275700,279000,276400,276400,277000,279450,277900,279000,285450,289500,289900,288900,287700,289000,288995,285000,285000,284950,284900,289900,286900,286900,285000,284900,283000,284900,284249.5,279950,279950
"Chesterfield","VA","Richmond","51","041",174,362425,349950,355500,361450,364950,355000,350000,349950,349000,343000,334987.5,325000,329475,331950,334365,329950,327900,329000,319950,315000,319950,319925,315000,299900,317250,329000,349950,349925,349950,350000,340000,350000,352475,351495,367245,364990,355900,362990,367995,390000,395000,389000,379950,389000,372791,372841,389000,366990,379750,390829,390414.5,395000,399500,402950,4e+05,399950,419900,404900,399950,399950,399000,410995,424825,417000,412000,407700,419925,409990,415800,429000,429000,414450,419999.5,4e+05,429725,429990,429950,429900,419450,414500,414500,405000,409999,408255
"Marion","OR","Salem","41","047",175,299900,289900,287750,289900,289900,289900,279900,289000,294000,289000,274950,279500,274950,265000,259900,240000,240000,239925,248000,239725,239000,238200,232450,241225,245000,249950,242475,262400,249900,249900,249000,249900,249949.5,269000,279900,274950,264900,267000,269900,275000,299900,3e+05,322400,312000,310000,299900,289900,299900,299900,319950,327450,327450,335000,345000,334900,324900,319900,319450,313490,320450,325000,325000,325000,319500,327000,340000,342450,339900,338250,336250,330000,329900,325000,320000,329000,329500,339900,350000,339000,335000,335000,329900,339000,337000
"Brazoria","TX","Houston","48","039",176,275000,285000,290000,284400,285000,284900,285900,284900,285000,276950,267900,274000,276086,274450,268775,266475,265000,266950,266450,262441,254815.5,251990,254900,251990,259900,257550,260000,268950,264000,261892,259900,254900,255945,261990,269925,276990,269990,275995,276975,280970,283000,297425,290925,295990,305000,304721.5,301478.5,330809.5,334900,334930.5,311370,335930.5,344950,359900,355990,369462.5,356490,368470,386691,389900,399900,400134,393400,400134,394500,379695,401990,417990,389000,411990,402990,406990,407490,399990,384990,370990,399990,384490,371578.5,375000,377495,387990,385995,381990
"Loudoun","VA","Washington","51","107",177,722000,709450,705000,699000,692950,699000,675500,675000,669700,669500,679000,684135,689000,684500,675000,670000,674950,669000,674900,674950,678500,675000,674900,634250,639000,649925,649900,675000,682950,678000,684000,653562.5,660550,689949.5,699000,689949.5,684994.5,679495,699024,702495,714285.5,749900,739900,727750,749900,749000,736867.5,749000,729250,749000,724495,729495,749900,749900,749900,734900,726995,719900,719900,709900,699994.5,699900,699999.5,699990,699990,7e+05,722445,724900,710000,739000,729542.5,739900,744450,728272.5,739900,739990,749900,740000,739450,748999.5,749945,749990,739900,748999
"Rockland","NY","New York","36","087",178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,649000,629000,629000,629000,589900,599000,599950,629000,619000,599950,6e+05,599949.5,599900,599999,599900,639450,6e+05,6e+05,599900,599949.5,599000,599000,599000,570000,579900,565000,578000,599999,619000,627499.5,644000,649000,649000,660000,659000,655000,649000,649900,650000,649000,650000,675000,699000,725000,742000,699000,740000,720000,728500
"Bell","TX","Killeen","48","027",179,,,,,,,,,,,,,,217465,213219.5,217970,220563,223813,218990,218990,200990,179900,175000,174900,185000,185930,185525.5,185900,185900,189450,200990,223841,224420.5,217990,220808,224420.5,198000,198000,199900,198950,199900,202945,209000,209315,201445,209450,213100,212908.5,205990,214717,225990,203400,209900,229300,224900,214545,209945,206693.5,214990,214545,206693.5,199990,208376,216215,239750,239900,243750,256800,246900,252350,248900,251100,246500,220812.5,258440,233800,220000,227000,246353,241900,243398,236405,233800,219900
"McHenry","IL","Chicago","17","111",180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,325000,334000,3e+05,3e+05,302950,3e+05,319000,318500,334000,335400,324950,314900,299000,327450,349900,384900,420000,420000,414950,399450,399900,369900,369900,362450,339900,350000,339900,350000,350000,349950,349900,350000,349500,359900,372000,368250,385000,385000,392450,387450,390000,397000,385000,375000,357900,359900,354700,349000
"Henrico","VA","Richmond","51","087",181,419950,409450,409000,449900,449950,451000,457950,449995,459000,457995,449950,439450,429950,439900,448000,439000,437000,420000,412495,405493.5,405493.5,390950,379000,329950,339950,389950,425000,479000,488395,497000,495000,468500,448850,450000,453725,439000,429000,469950,489450,479950,499975,529950,489475,477425,474950,462945,482000,499000,525000,495990,5e+05,529790,550000,519950,522425,504475,514190,499900,524950,499901,542500,539950,579450,564975,556450,566975,549950,539500,539000,549900,549950,549900,550000,519975,569950,567900,559900,549950,534950,539000,539450,539950,549990,563975
"Davis","UT","Ogden","49","011",182,280000,279450,285000,284900,279900,275000,275000,274950,275000,269900,266500,260000,249900,249900,246750,249900,239950,244900,245000,245000,249900,249900,250000,247900,249950.5,247900,249000,264900,264950,255000,265000,269900,264450,265900,269949.5,269999.5,279000,287000,284885,289999.5,299900,312000,305000,299950,299900,309950,314400,305000,299900,309950,337000,349000,348450,339900,339900,339900,337950,339900,349000,349500,349900,354950,350000,359950,379900,365000,373500,381250,389000,369000,370000,379900,395900,379450,385000,392450,397000,392500,387000,385000,389900,382000,369000,374900
"Albany","NY","Albany","36","001",183,167000,174900,185000,183450,181000,174900,168950,166450,175900,170000,159900,162950,171500,169900,176700,169450,169900,177900,182500,184900,180000,179900,179900,172500,168500,165950,174900,175000,179000,188250,180405,187500,184999,188250,173950,169160.5,169419.5,168250,167000,184727.5,194950,184900,180000,173500,177500,172950,177950,169800,162444,159000,159000,164900,176450,184900,189000,179900,179450,168000,169900,166000,159900,165000,169700,164900,187700,197000,185250,179000,169900,169900,165000,165000,159900,159450,164800,164900,165000,174900,184450,172450,178000,167450,169900,148950
"Larimer","CO","Fort Collins","08","069",184,455000,445000,429900,429700,434000,436000,450000,459000,459450,432500,399950,399000,399900,389000,385000,377250,388950,386750,389757.5,385000,389900,375000,376304.5,359450,362900,351475,369900,350000,354750,359900,365000,375000,387000,389000,398450,419750,409950,410000,425000,429500,439000,455000,468000,449975,477658.5,498000,489000,495000,498000,490000,490000,493660,499995,495000,496000,515000,515000,529900,529000,543611.5,550000,534475,527000,512400,5e+05,499950,524000,539900,527352.5,565000,559900,550000,525000,550000,565000,579000,574500,586750,591950,599500,612250,593950,625000,625000
"Northampton","PA","Allentown","42","095",185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,339000,325000,339000,322000,305000,349000,350000,349900,345000,324700,315000,315000,288700,299900,314900,310000,295000,289900,278500,274900,275000,269450,277000,279000,284345,277000,279000,249900,279172.5,284345,269900,269950,281672.5,267450,269900,269900,269900,269900
"Dutchess","NY","New York","36","027",186,479000,489000,469000,450000,449962,429900,450000,465000,479000,465000,450000,446149.5,409300,409300,449000,389000,362400,359777,362400,369900,359826,352450,351250,349500,369950,360500,369000,398000,379900,389900,375000,374950,365000,379450,399000,410000,399450,399000,399000,392450,385000,422000,365000,350000,365000,365000,385000,385000,360000,342450,349900,365000,365000,363500,369000,384900,395000,399000,395000,399000,369900,354950,342500,349700,350000,385000,385000,397000,385000,389900,359500,349900,350000,359900,375000,395000,395000,399000,399462.5,399999,4e+05,422450,425000,387500
"Lake","FL","Orlando","12","069",187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345212.5,337990,315225,314950,299925,3e+05,298500,296750,319900,309999,301876,302100,309450,314945,317699,318990,329500,312990,319900,319900,319450,329913.5,320000,324204,324204,325000,326495,375000,350000,352260,335000,337627,349900,324999,334900,324900,333400,350000
