,Rank2016,District,City,RegionName,County,Score2016,Score2015,Rank2015,SchoolDiggerRating,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16
190,124.0,Conejo Valley Unified,Thousand Oaks,91362,Ventura,0.7893992,0.7963643,119,4.0,729479.166667,766000.0,850666.125,847672.916667,,,,,679558.333333,698470.833333,904004.166667,950983.333333,2365000.0,2108977.0,539570.75,504600.0,,,1112266.66667,1065537.0
191,126.0,Norris Elementary,Bakersfield,93312,Kern,0.7848927,0.797547,117,4.0,260662.5,260616.666667,283787.5,281218.666667,,,,,251110.5,250941.666667,306512.25,299820.791667,,,,,,,283787.5,281239.5
192,218.0,Rosedale Union Elementary,Bakersfield,93312,Kern,0.7010398,0.687091,230,4.0,260662.5,260616.666667,283787.5,281218.666667,,,,,251110.5,250941.666667,306512.25,299820.791667,,,,,,,283787.5,281239.5
193,127.0,Mountain View Whisman,Mountain View,94043,Santa Clara,0.7844957,0.7793517,135,4.0,980875.257091,1210083.33333,,,,,,,,,,,,,,,,,,
194,129.0,San Mateo Union High,San Mateo,94401,San Mateo,0.7806122,0.7708854,141,4.0,717550.0,718500.0,725081.166667,773495.833333,,,,,,,,,,,,,,,,
195,131.0,Lowell Joint,Whittier,90603,Los Angeles,0.7793139,0.7331228,177,4.0,495990.070378,514900.0,541949.958333,540104.166667,,,,,505643.666667,527019.833333,,,,,,,,,556725.0,562266.25
196,132.0,Temecula Valley Unified,Temecula,92592,Riverside,0.7787997,0.7921548,123,4.0,386587.5,406883.333333,444258.291667,458411.583333,,,,,371491.666667,387929.166667,457975.0,475024.583333,549934.5,561895.416667,,,,,453820.833333,472920.833333
197,133.0,San Luis Coastal Unified,San Luis Obispo,93401,San Luis Obispo,0.7759927,0.7397634,169,4.0,561118.181818,646198.89705,612192.625,613683.5,,,441500.0,455002.166667,621266.666667,633353.291667,,,,,,,,,734334.583333,791247.166667
198,,Santa Lucia ROP,San Luis Obispo,93401,San Luis Obispo,(n/a),(n/a),(n/a),,561118.181818,646198.89705,612192.625,613683.5,,,441500.0,455002.166667,621266.666667,633353.291667,,,,,,,,,734334.583333,791247.166667
199,135.0,Pacifica,Pacifica,94044,San Mateo,0.7741148,0.8038914,113,4.0,752979.166667,775150.0,755609.416667,814944.333333,,,,,,,,,,,,,,,762697.916667,823407.833333
200,136.0,Templeton Unified,Templeton,93465,San Luis Obispo,0.772918,0.7368375,173,4.0,458748.114633,475000.0,728316.666667,866362.5,,,,,,,,,,,,,,,732770.833333,874304.166667
201,137.0,Manzanita Elementary,Gridley,95948,Butte,0.7716606,0.7563682,159,4.0,,,,,,,,,,,,,,,,,,,,
202,515.0,Gridley Unified,Gridley,95948,Butte,0.4707492,0.5750637,370,2.0,,,,,,,,,,,,,,,,,,,,
203,138.0,Vista Del Mar Union,Gaviota,93117,Santa Barbara,0.7681664,0.785332,129,4.0,691176.47059,707672.549033,745929.166667,775953.333333,,,,,,,,,,,,,,,,859575.0
204,171.0,Goleta Union Elementary,Goleta,93117,Santa Barbara,0.73259,0.7231503,192,4.0,691176.47059,707672.549033,745929.166667,775953.333333,,,,,,,,,,,,,,,,859575.0
205,139.0,Glendora Unified,Glendora,91741,Los Angeles,0.7666863,0.7623154,148,4.0,626722.976378,621582.35294,724074.875,760887.0,,,,,633166.083333,654412.416667,803858.333333,853420.833333,,,,,,,738712.5,782204.125
206,140.0,Gold Trail Union Elementary,Placerville,95667,El Dorado,0.7652973,0.8686543,77,4.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
207,235.0,El Dorado Union High,Placerville,95667,El Dorado,0.6901733,0.6844047,233,4.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
208,238.0,Placerville Union Elementary,Placerville,95667,El Dorado,0.6802574,0.7030303,213,4.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
209,274.0,Gold Oak Union Elementary,Placerville,95667,El Dorado,0.6387913,0.6468341,279,3.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
210,324.0,Mother Lode Union Elementary,Placerville,95667,El Dorado,0.5897839,0.6972867,218,3.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
211,487.0,El Dorado County Office Of Education,Placerville,95667,El Dorado,0.481181,0.4207195,569,2.0,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
212,,Central Sierra ROP,Placerville,95667,El Dorado,(n/a),(n/a),(n/a),,280659.090909,329411.60634,338750.0,339093.75,,,276315.045455,289585.416667,376590.909091,400427.416667,590000.0,562325.0,,,,,,,340254.545455,340466.666667
213,142.0,Centralia Elementary,Buena Park,90620,Orange,0.7652552,0.7144332,202,4.0,489546.95701,511791.8552,494762.0,527203.958333,,,,,487932.708333,517028.333333,,,,,,,,,495610.833333,526632.791667
214,424.0,Buena Park Elementary,Buena Park,90620,Orange,0.5213492,0.4798399,484,3.0,489546.95701,511791.8552,494762.0,527203.958333,,,,,487932.708333,517028.333333,,,,,,,,,495610.833333,526632.791667
215,145.0,Brea-Olinda Unified,Brea,92821,Orange,0.7637083,0.7951731,121,4.0,616506.993009,621745.588233,672325.0,653981.75,,,,,607193.75,610354.0,702237.416667,717563.541667,,,,,,,687770.833333,686556.666667
216,146.0,Julian Union High,Julian,92036,San Diego,0.7632093,0.7658829,146,4.0,,,446166.666667,414658.333333,,,,,,,,,,,,,,,446166.666667,414658.333333
217,320.0,Julian Union Elementary,Julian,92036,San Diego,0.5915604,0.5500086,400,3.0,,,446166.666667,414658.333333,,,,,,,,,,,,,,,446166.666667,414658.333333
218,147.0,Roseville City Elementary,Roseville,95678,Placer,0.7631385,0.7501742,163,4.0,306183.333333,331433.333333,319593.708333,352053.75,,,,248437.5,307965.583333,349595.666667,,,,,,,,,334108.333333,364812.5
219,149.0,Huntington Beach Union High,Huntington Beach,92649,Orange,0.7593566,0.7832041,132,4.0,724818.181818,734770.833333,824395.25,853886.916667,,,,,810369.541667,862326.166667,1304495.0,1243608.33333,,,449200.0,440983.333333,,,1214100.0,1171566.66667
220,150.0,Lammersville Joint Unified,Mountain House,95391,San Joaquin,0.7573994,0.7221265,194,4.0,474862.0098,481225.0,505997.208333,536924.0,,,,,,,529825.166667,555830.041667,,,,,,,514489.041667,545342.583333
221,151.0,Milpitas Unified,Milpitas,95035,Santa Clara,0.7564368,0.7620675,149,4.0,744104.166667,782425.0,735984.166667,803111.458333,,,,,726506.541667,801235.0,,,,,,,,,815589.125,859798.75
222,152.0,Lassen Union High,Susanville,96130,Lassen,0.7544031,0.7018509,216,4.0,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
223,177.0,Richmond Elementary,Susanville,96130,Lassen,0.7295433,0.757633,154,4.0,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
224,388.0,Susanville Elementary,Susanville,96130,Lassen,0.5453924,0.4955003,470,3.0,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
225,483.0,Johnstonville Elementary,Susanville,96130,Lassen,0.4833366,0.443087,539,2.0,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
226,,Lassen County Office Of Education,Susanville,96130,Lassen,(n/a),(n/a),(n/a),,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
227,,Lassen ROP,Susanville,96130,Lassen,(n/a),(n/a),(n/a),,140722.689071,153222.2285,179925.0,176604.166667,,,,,,,,,,,,,,,182205.555556,176691.666667
228,153.0,Glendale Unified,Glendale,91206,Los Angeles,0.7532417,0.7581878,152,4.0,527137.524243,622475.0,,,,,,,,,,,,,,,,,848895.833333,962083.291667
229,154.0,Wiseburn Elementary,Hawthorne,90250,Los Angeles,0.752075,0.7162665,201,4.0,522645.8258,486090.686267,479620.541667,544308.291667,,,,,462783.125,530070.416667,,,,,,,,,478062.458333,536427.916667
230,545.0,Hawthorne,Hawthorne,90250,Los Angeles,0.445437,0.4320496,552,2.0,522645.8258,486090.686267,479620.541667,544308.291667,,,,,462783.125,530070.416667,,,,,,,,,478062.458333,536427.916667
231,,Wiseburn Unified,Hawthorne,90250,Los Angeles,(n/a),(n/a),(n/a),,522645.8258,486090.686267,479620.541667,544308.291667,,,,,462783.125,530070.416667,,,,,,,,,478062.458333,536427.916667
232,155.0,Alta Loma Elementary,Alta Loma,91701,San Bernardino,0.7492704,0.7705621,142,4.0,451739.583333,459479.166667,492683.166667,519904.041667,,,,,429596.25,433470.833333,514773.916667,548386.875,,,,,,,498520.75,538176.541667
