,Unnamed: 0_x,RegionName,CrimeCases_x,Unnamed: 0.1,Population_x,StateCode,crime_rate,Unnamed: 0_y,sold_15,sold_16,list_15,list_16,one_15,one_16,two_15,two_16,thre_15,thre_16,four_15,four_16,five_15,five_16,cond_15,cond_16,trip_15,trip_16,sfr_15,sfr_16,Unemploy_Rate,Population_y,CrimeCases_y,Score2016,Score2015,Rank2016,Highest Rank City 2016,Zip2016,Rank2015,Highest Rank City 2015,Zip2015,Number Students,Number of Ranked Elementary Schools,Number of Ranked Middle Schools,Number of Ranked High Schools,total_income
12,12,Monterey,2992.0,27,433898,California,0.00689562984849,19,457554.166667,489200.0,672000.0,722132.833333,,,576191.666667,620297.916667,632491.166667,691141.166667,726199.583333,779891.5,,,494097.833333,523854.166667,,,701697.083333,768769.916667,10.5,433898,2992.0,0.39010921,0.403364489474,66.0,Big Sur,93426,26.0,Big Sur,93426,76024.0,72.0,27.0,27.0,125402
13,13,Napa,714.0,28,142456,California,0.00501207390352,33,526554.166667,547233.333333,653883.333333,681729.166667,,,517966.166667,534456.25,657704.125,689565.666667,771153.666667,854409.083333,,,,,,,686132.208333,712579.166667,5.1,142456,714.0,0.580087233333,0.588579333333,107.0,Angwin,94508,144.0,Angwin,94508,20978.0,22.0,9.0,8.0,49494
14,14,Orange,2967.0,30,3169776,California,0.000936028287172,1,601020.833333,623150.0,675932.083333,705890.0,279250.0,303945.833333,417687.5,441220.833333,639658.333333,669607.0,841700.0,883811.583333,1382647.79167,1439552.29167,422483.333333,446204.166667,924108.583333,1120979.16667,787609.75,820343.541667,4.1,3169776,2967.0,0.674438478571,0.682547892593,29.0,Anaheim,90620,31.0,Anaheim,90620,496719.0,385.0,113.0,100.0,1009353
15,15,Placer,3920.0,31,375391,California,0.0104424453437,21,384287.5,397833.333333,452740.833333,492098.333333,308916.625,348337.5,350762.5,390050.0,400370.416667,430189.541667,503034.5,537272.5,598135.833333,633978.25,323943.25,380483.333333,608356.1875,666612.5,462109.583333,495115.75,4.6,375391,3920.0,0.697180115385,0.705427875,76.0,Alta,95603,80.0,Alta,95603,66462.0,65.0,32.0,23.0,135456
16,16,Riverside,17148.0,33,2361026,California,0.00726294416072,3,309068.75,320437.5,344257.5,361732.458333,145399.875,145940.75,227945.75,237962.041667,327233.333333,344291.666667,394170.75,413642.833333,461315.0,492596.583333,273656.666667,280891.666667,352866.583333,387212.5,356255.25,376051.708333,6.0,2361026,17148.0,0.410756956522,0.411668208696,132.0,Banning,92220,123.0,Banning,92220,425225.0,284.0,104.0,105.0,699232
17,17,Sacramento,28593.0,34,1501335,California,0.0190450499056,7,275108.333333,291441.666667,306631.090909,324152.958333,,163918.25,,223129.125,273726.318182,294689.083333,363588.583333,382687.416667,453111.25,482812.416667,,208935.416667,322175.541667,338131.291667,317099.454545,332891.666667,5.5,1501335,28593.0,0.393842421429,0.432314823077,335.0,Antelope,95608,209.0,Antelope,95608,237811.0,221.0,101.0,81.0,522596
18,18,San Benito,428.0,35,58792,California,0.00727990202749,42,449687.5,466283.333333,512429.083333,544523.958333,,,,,,,630000.0,609053.916667,,,,,,,527515.833333,553184.958333,7.5,58792,428.0,0.493396328571,0.487045171429,77.0,Hollister,95023,74.0,Hollister,95023,11134.0,14.0,10.0,3.0,17198
19,19,San Bernardino,12956.0,36,2128133,California,0.00608796536683,4,264327.083333,272666.666667,271312.5,291733.333333,,,172779.083333,185468.166667,255624.833333,274181.5,367520.833333,385991.166667,465997.791667,493139.5,259899.916667,271735.416667,295638.125,306816.666667,272363.916667,293408.333333,5.7,2128133,12956.0,0.4345289125,0.44258036875,112.0,Adelanto,91701,115.0,Adelanto,91701,409680.0,336.0,125.0,100.0,614325
20,20,San Diego,11931.0,37,3299521,California,0.00361597941034,2,472187.5,489250.0,538650.0,575525.0,276475.0,319328.625,360778.166667,396704.083333,494828.166667,526257.333333,684390.666667,716899.958333,1093432.0,1184135.41667,376438.583333,410828.333333,678408.333333,765775.0,609515.25,641470.583333,4.8,3299521,11931.0,0.61728617,0.6254672775,10.0,Alpine,91901,10.0,Alpine,91901,502352.0,434.0,188.0,145.0,1094157
21,21,San Joaquin,8848.0,39,726106,California,0.0121855486664,14,276945.833333,290691.666667,307307.916667,332305.291667,,,151500.0,181224.5,275637.458333,303779.166667,374301.166667,396345.291667,402128.458333,446453.291667,,,244393.541667,282120.75,313229.166667,338372.666667,8.7,726106,8848.0,0.476068935714,0.483542828571,150.0,Acampo,95202,194.0,Acampo,95202,143773.0,152.0,117.0,48.0,219073
