"RegionName","State","Metro","StateCodeFIPS","MunicipalCodeFIPS","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
"Los Angeles","CA","Los Angeles-Long Beach-Anaheim","06","037",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,323000,320000,319000,309000,325000,327950,325000,325000,325000,329900,325000,325000,320000,329900,339584,330000,359000,369900,364000,360936,369000,379000,385000,388800,386500,399000,392500,388000,397750,399000,410000,420000,419900,415000,412944,429000,430000
"Harris","TX","Houston","48","201",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,82000,85450,86000,85250,84900,83999,89000,89900,99900,99325,99000,98250,95000,94900,102000,109444,109444,119900,119900,112000,110000,124997.5,109950,119994,129000,125000,128500,136000,139950,138950,129700,143000,140000,148000,150000,144950,149900,140000,146249.5,144000,149900,160000,159900,157240,164999.5,166000,159999,165000,169000
"San Diego","CA","San Diego","06","073",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,249000,249900,245000,249000,258500,255000,265000,265000,259999.5,255500,256500,265000,254100,250000,249000,250000,259900,274900,275000,289000,288000,288000,295000,299000,299900,299949.5,314950,319000,320000,324700,324700,325000,325000,319000,315750,319000,324894
"Orange","CA","Los Angeles-Long Beach-Anaheim","06","059",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260000,256000,259000,274900,270000,270950,269900,275000,265000,255900,245000,260000,273900,275000,275900,285000,295000,289450,289900,289000,275450,269900,272500,279900,289800,295000,299000,3e+05,317250,319500,310000,309900,309000,308000,310000
"Miami-Dade","FL","Miami-Fort Lauderdale","12","086",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,241000,239000,240000,239900,245000,245000,249500,249000,250000,250000,255000,275000,279000,275000,279000,275000,269000,259900,255000,259900,265000,270000,270000,289500,290000,295000,290000,285000,295000,295600,295000,295000,290000,290000,292000,294500,290000
"Dallas","TX","Dallas-Fort Worth","48","113",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115749.5,117000,115499,116600,110450,110900,117750,120000,115000,117700,119950,119900,119000,115000,120000,127450,124900,127900,130000,135000,135000,135000,139900,139000,130000,139900,149000,150000,149500,149900,155000,155000,162900,165000,169900,169900,169900,169933.5,175000
"Queens","NY","New York","36","081",7,195000,196000,199000,199894,209000,205000,206499.5,205000,203000,2e+05,205000,199000,199000,199000,199000,195000,190000,189000,189000,189000,189000,189000,188000,185000,188000,187000,185000,184650,182900,184990,179945,179000,179000,179000,179000,179000,175000,174999,175000,177000,179000,175000,178900,179000,179900,179000,179000,179000,179000,179888,189000,189000,189000,190000,189900,192000,195000,194000,190000,190000,199000,199000,199000,199000,199000,216500,209000,219000,225000,229000,231500,238000,248000,258000,249000,249949.5,250000,256000,260000,265000,269000,275000,285000,288888
"Riverside","CA","Riverside","06","065",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121500,128000,127950,129900,135450,137000,142450,139925,134900,133700,139000,134700,136500,134900,139900,145000,139900,144900,145000,146899,145949.5,144900,148000,145450,149900,149000,145000,144950,145000,149900,145000,139945,149900,149900,149000,140500,145000,147194
"Santa Clara","CA","San Jose","06","085",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350000,349888,352444,343000,348500,349000,388888,394500,375000,375888,395000,385000,378000,373500,399650,404000,411500,415000,399999,445000,469475,495000,492000,469000,450000,450000,449250,449000,429000,491500,506444,483750,468000,461950,459000,467475,469475,469994
"Broward","FL","Miami-Fort Lauderdale","12","011",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94000,89900,96700,95000,97900,94900,94000,97250,95000,94900,94700,94900,89900,89900,89900,98000,99900,99000,97500,97500,99000,1e+05,98000,1e+05,112800,112000,107000,110000,110000,114900,114900,115000,120000,119500,124900,125000,125000,125950
